"Projet","Titre","Description","Assigné à","Progression","Étape","Date de début","Date de fin","Heures passées","Heures passées sur les sous-tâches","Heures prévues initialement","Heures prévues sous-tâches","Heures restantes","Tâche parente","Sous-tâches","Étiquette d'état Kanban"
"Projet Interne: Déploiement outils Just Odoo It","Afficher seulement les projets du Client sur le compte Portail","<p>Les clients de Datactivist auront des comptes portail pour suivre l'évolution de leurs projets.</p><p>Datactivist a besoin de s'assurer que les clients ne voients QUE les projets qui les concernent.<br></p>","Stéphan Elabore","0.0","Transféré sur Elabore.coop","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Sortir les encours 2022","<p><br></p>","Mathieu Elabore","0.0","Terminé","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"DREAL Grand Est - DataHub","Rédaction support lancement","","Magalie Dartus","0.0","MS1 - Archivé","","","2.0","0.0","0.0","0.0","-2.0","","","Prêt"
"France Data Réseau","Préparation copil S1-2022","<p><br></p>","François Lacombe","0.0","Terminé","","","7.0","0.0","0.0","0.0","-7.0","","","Prêt"
"Projet Interne: Déploiement outils Just Odoo It","Liste des champs à créer","<ul><li><p>Application Vente ou Facturation:</p><ul><li><p>Devis/bon de commande OU Facture:</p><ul><li><p>faire apparaitre les champs suivant dans la vue form: </p><ul><li><p>numéro SIRET de l'acheteur : récupérer le numéro de siret du partner client<br></p></li><li><p>code service : proposer dans devis un champ Many2One pour sélectionner le service, puis afficher son numéro dans le devis et la facture<br></p></li><li><p>numéro d'engagement juridique: créer nouveau champ dans devis et facture, et le synchroniser de devis vers facture<br></p></li><li><p>numéro de marché : créer nouveau champ dans devis et facture, et le synchroniser de devis vers facture</p></li></ul></li></ul></li></ul></li></ul>","Mathieu Elabore","0.0","Terminé","2021-12-08 16:48:14","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Intégration et suivi des encours dans Odoo","<p>Kpi tableau de bord qui reprend les encours<br></p>","Mathieu Elabore","0.0","Transféré sur Elabore.coop","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Titre pour les pièces comptables","<p>On souhaiterait pouvoir donner un titre aux devis et factures. J'ai vu qu'il y a un module non passé en v14, j'ai écrit à Alexis à ce sujet. Vous voyez une autre possibilité ?<br></p>","Mathieu Elabore","0.0","Terminé","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Retours clients","<p>Bonjour</p><p><br></p><p>nous aimerions pouvoir recueillir des feedbacks des clients, soit au cours du projet (questions, alertes, etc.) soit une fois le projet fini (quelques questions de satisfactions, recueil de verbatims). Quelle serait d'après vous la meilleure manière de le faire ?</p><p>En lien, au-delà des aspects facturations comment designer le portail client ?</p><p><br></p><p>Merci !<br></p>","Mathieu Elabore","0.0","Terminé","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Créer groupe de droit d'accès pour que des utilisateurs n'aient accès qu'aux feuilles de temps dans Odoo","<p>besoin: des sous traitants loguent leur temps sur des projets directement dans odoo dactactivist et aient donc accès seulement à l'app feuille de temps lorsqu'ils se connectent (+projet où ils sont abonnés)<br></p><p><br></p><p>Opérations effectuées sur test.datactivist.coop : </p><ul><li><p>Installation module <b>web_select_top_menu</b></p></li><li><p>Création groupe ""<b>Sous-traitant</b>"", copie du groupe ""<b>Project/Utilisateur</b>""<br></p></li><li><p>Création Item de Menu ""<b>Sous-traitants</b>""</p></li><li><p>Création Item de Menu ""<b>Projects</b>"", enfant de ""<b>Sous-traitant</b>s""</p></li><li><p>création compte test st@mail.com / 1234<br></p></li><li><p><i>Retirer le droit d'écriture sur le droit d'accès ""<b>project.task.timesheet.user</b>"" (=&gt; Stéphan : non fait en PROD car je ne sais plus pourquoi cette instruction...)<br></i></p></li><li><p>Modification paramètre de <b>#general</b> pour inscrire automatiquement uniquement les Employés, à la place des Utilisateurs Interne</p></li><li><p>Création de la vue ""<b>datactivist.task.form.custom</b>"" pour </p><ul><li><p>rendre le champs ""employee_id"" non obligatoire sur les lignes de temps (car les sous-traitants ne sont pas des employés)</p></li><li><p>afficher le champs ""user_id"" pour qu'on puisse renseigner aussi bien un employé qu'un sous-traitant</p></li><li><p><br></p></li></ul><p><br></p></li></ul><p><b>Procédure d'ajout d'un nouveau sous-traitant :</b></p><ul><li><p>créer un nouvel <b>Utilisateur Interne</b></p></li><li><p>Retirer tous ses droits, sauf :</p><ul><li><p><b>Feuille de temps : voir ses propres feuilles de temps</b></p></li><li><p><b>Projet : Sous-traitant</b><br></p></li></ul></li><li><p>Sélectionner dans l'onglet <b>Préférences</b> le <b>Top menu</b> : <b>Sous-traitants</b></p></li><li><p>attribuer ses droits d'accès aux projets souhaités<br><b></b><br></p></li></ul>","Stéphan Elabore","0.0","Terminé","","","1.0","0.0","0.0","0.0","-1.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Mises en place d'un tableau de bord de KPI","<p><a href=""https://docs.elabore.coop/wuFJ6p1IQ9S_Faz6KzZApQ?view"" target=""_blank"">Bibliothèque de KPI </a><br></p>","Mathieu Elabore","0.0","Informations","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Pb saisie des achats","<p>Dès lors que je veux saisir un achat, j'ai un message d'erreur (cf capture écran) rendant impossible l'enregistrement de l'écriture. Je vais dans les paramètres avancés mais sans comprendre le problème. </p><p>Sachant qu'hier, j'ai pu traiter les écritures Mooncard sans problème. </p><p><br></p>","Mathieu Elabore","0.0","Terminé","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
